Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
鳥	Pássaro	チョウ	とり	Desenho estilizado de um pássaro com cabeça, corpo e cauda.	N4
犬	Cachorro	ケン	いぬ	Um objeto grande (大) marcado com um ponto (丶) para representar um cachorro.	N4
夕	Noite (crepúsculo)	セキ	ゆう	Representação visual da lua crescente surgindo ao fim do dia no crepúsculo.	N4
魚	Peixe	ギョ	うお, さかな	Cabeça (⺈), corpo com escamas (田) e barbatanas (灬) de um peixe.	N4
借	Pegar emprestado	シャク	か・りる	Uma pessoa (亻) que busca algo que pertence ao passado (昔) por empréstimo.	N4
飯	Refeição	ハン	めし	Comida (飠) servida no lado curvado (反) de uma tigela para a refeição.	N4
駅	Estação	エキ	Não possui	Local de medida (尺) onde os cavalos (馬) param em uma estação.	N4
昼	Dia (meio-dia)	チュウ	ひる	Medir (尺) a luz do sol desde o amanhecer (旦) para marcar o dia.	N4
冬	Inverno	トウ	ふゆ	O caminhar (夂) sobre o gelo (冫) durante o inverno.	N4
姉	Irmã mais velha	シ	あね	A mulher (女) da família que vai ao mercado da cidade (市) como irmã mais velha.	N4
曜	Dia da semana	ヨウ	Não possui	O sol (日) iluminando as aves (隹) que aparecem em um dia da semana.	N4
漢	Dinastia chinesa (homem)	カン	Não possui	Água (氵), plantas (艹) e pessoas (口, 夫) vivendo na região da dinastia Han.	N4
牛	Vaca	ギュウ	うし	Desenho estilizado da cabeça de uma vaca com chifres.	N4
妹	Irmã mais nova	マイ, バイ	いもうと	Uma mulher (女) que ainda não (未) amadureceu totalmente como irmã mais nova.	N4
貸	Emprestar	タイ	か・す	Dinheiro ou conchas (貝) dado como substituto (代) em um empréstimo.	N4
勉	Esforço (estudo)	ベン	Não possui	Usar a força (力) para evitar (免) o fracasso através do esforço.	N4
合	Combinar, encaixar	ゴウ, ガッ, カッ	あ・う, あ・わす, あ・わせる	Encaixar uma tampa (亼) perfeitamente sobre uma boca ou recipiente (口).	N3
部	Seção, departamento	ブ	Não possui	Uma seção ou departamento em um local murado (阝) onde se fica de pé (立) para servir.	N3
彼	Ele, namorado	ヒ	かれ, かの	Alguém (彳) que possui uma pele (皮) ou aparência diferente: ele.	N3
内	Dentro, interior	ナイ, ダイ	うち	Uma pessoa (人) que entra em um espaço cercado (冂): o lado de dentro.	N3
実	Fruta, real, prático	ジツ	み, みの・る	Sob um telhado (宀), o resultado real e grande (大) de um esforço ou colheita.	N3
当	Acertar o alvo, golpear	トウ	あ・たる, あ・てる	Acertar o alvo com um golpe rápido (彐) sob uma luz brilhante (⺌).	N3
戦	Guerra, luta	セン	いくさ, たたか・う	Usar uma lança (戈) em um combate isolado ou simples (单): o estado de guerra.	N3
性	Qualidade inata, gênero	セイ, ショウ	Não possui	A qualidade inata ou o gênero que nasce naturalmente no coração (忄).	N3
対	Para, contra, par	タイ, ツイ	Não possui	Medir (寸) palavras ou textos (文) um contra o outro para comparar: contra ou par.	N3
関	Relacionado a, entrada	カン	せき, かか・わる	Um portal (門) que se conecta ao céu (天) por uma fresta, criando uma relação.	N3
感	Sentimento, sentido	カン	Não possui	O sentimento no coração (心) ao ser atingido por uma ação ou palavra forte.	N3
定	Decidir, definir	テイ, ジョウ	さだ・める, さだ・まる, さだ・か	Decidir fixar os pés (疋) sob um telhado (宀) para permanecer e definir um local.	N3
政	Administração política	セイ, ショウ	まつりごと	A ação (攵) de manter as coisas na forma correta (正) na administração.	N3
取	Pegar, pegar para si	シュ	と・る	Usar a mão (又) para pegar algo firmemente pela orelha (耳).	N3
所	Lugar, característica	ショ	ところ	Um lugar marcado por uma porta (戸) e pelo trabalho de construção com o machado (斤).	N3
現	Atual, real, aparecer	ゲン	あらわ・れる, あらわ・す	Ver (見) o brilho de uma joia (王) manifestar-se na atualidade.	N3
最	O mais, máximo	サイ	もっと・も	Pegar (取) o momento mais importante do dia (日): o máximo ou o mais.	N3
化	Mudar, disfarçar-se	カ, ケ	ば・ける, ば・かす	Uma pessoa (亻) que muda de forma ou se disfarça em outra (ヒ).	N3
民	Povo, privado	ミン	たみ	O clã (氏) ou povo que vive e se organiza sob uma estrutura ou boca (口).	N3
相	Aparência, mútuo	ソウ, ショウ	あい	O olho (目) observando a árvore (木) para verificar sua aparência ou ajuda mútua.	N3
法	Lei, método	ホウ, ハッ, ホッ	Não possui	A lei que deve fluir como a água (氵) e fazer as coisas ruins partirem (去).	N3
全	Tudo, completo	ゼン	まった・く, すべ・て	Tudo o que entra (入) sob o domínio de um rei (王) de forma completa.	N3
情	Emoção, sentimentos	ジョウ, セイ	なさ・け	A emoção pura e fresca (青) que nasce e reside no coração (忄).	N3
向	Virar-se para, direção	コウ	む・く, む・ける, む・かう, む・こう	Virar a boca (口) para uma direção específica dentro de um espaço cercado (冂).	N3
平	Plano, comum, calmo	ヘイ, ビョウ	たい・ら, ひら	Dividir (八) algo de forma nivelada ou plana como a superfície de um escudo (干).	N3
成	Tornar-se, formar	セイ, ジョウ	な・る, な・す	Usar ferramentas e armas (戈) para formar algo completo em um local (厂).	N3
経	Passar por, sutra	ケイ, キョウ	へ・る	Fios (糸) que passam por um tear ou por um caminho subterrâneo.	N3
信	Crença, mensagem	シン	Não possui	Acreditar e ter confiança nas palavras (言) ditas por uma pessoa (亻).	N3
面	Rosto, superfície	メン	おも, おもて, つら	Um olho (目) focado em uma superfície ou rosto delimitado por linhas.	N3
連	Levar junto, juntar-se	レン	つら・なる, つら・ねる, つ・れる	Levar carros (車) juntos por um caminho (辶) em sucessão: juntar-se.	N3
原	Campo, original	ゲン, ガン	はら	Uma fonte branca (白) e pequena (小) sob um penhasco (厂): o campo original.	N3
顔	Rosto, expressão	ガン	かお	A página (頁) ou rosto que expressa o talento de um homem (彦).	N3
機	Máquina, oportunidade	キ	はた	Uma máquina feita de madeira (木) com muitas partes complexas (幾).	N3
次	Próximo, ordem	ジ, シ	つ・ぐ, つぎ	Abrir a boca (欠) sob o gelo (冫) enquanto espera pela próxima vez.	N3
数	Número, contar	スウ, ス	かず, かぞ・える	Uma mulher (女) contando (攵) grãos de arroz (米) para saber o número.	N3
美	Belo, beleza	ビ	うつく・しい	Uma ovelha (羊) que cresceu e se tornou grande (大) e bela.	N3
回	Girar, vezes	カイ, エ	まわ・る, まわ・す	Um movimento de girar em círculos, como uma boca (口) dentro de um cercado (囗).	N3
表	Superfície, expressar	ヒョウ	おもて, あらわ・す, あらわ・れる	A parte de cima ou superfície da roupa (衣) que serve para expressar algo.	N3
声	Voz	セイ, ショウ	こえ, こわ	O som ou a voz que sai do corpo (尸) de uma pessoa ou samurai (士).	N3
報	Informação, reportar	ホウ	むく・いる	Usar a mão (又) para informar ou retribuir pela sorte (幸) de alguém preso (卩).	N3
要	Necessidade, essencial	ヨウ	かなめ, い・る	Uma mulher (女) que busca o que é essencial ou necessário sob uma cobertura (覀).	N3
変	Mudar, estranho	ヘン	か・わる, か・える	Caminhar devagar (夂) enquanto algo se torna estranho (亦) ou muda.	N3
神	Deus, divindade	シン, ジン	かみ, かん, こう	Uma divindade ou deus (礻) que se manifesta ou relata (申) sua vontade.	N3
記	Escrever, registrar	キ	しる・す	Usar as palavras (言) para registrar algo sobre si mesmo (己).	N3
和	Harmonia, Japão	ワ, オ	やわ・らぐ, やわ・らげる, なご・む, なご・やか	A harmonia de ter grãos (禾) suficientes para alimentar cada boca (口).	N3
引	Puxar, atrair	イン	ひ・く, ひ・ける	Puxar uma linha vertical (丨) como se estivesse esticando a corda de um arco (弓).	N3
治	Governar, curar	ジ, チ	おさ・める, おさ・まる, なお・る, なお・す	Usar a água (氵) sobre uma plataforma (台) para governar ou curar.	N3
決	Decisão	ケツ	き・める, き・まる	A água (氵) que rompe uma barreira, representando uma decisão final e firme.	N3
太	Grosso, grande	タイ, タ	ふと・い, ふと・る	Algo que já é grande (大) com um ponto extra (丶) de espessura: grosso.	N3
込	Ficar lotado, mover para dentro	Não possui	こ・む, こ・める	Entrar (入) em um caminho (辶) que acaba ficando lotado.	N3
受	Receber, aceitar	ジュ	う・ける, う・かる	Receber algo com as mãos (又) sob uma cobertura (冖) usando uma garra (爫).	N3
解	Desatar, resolver, explicar	カイ, ゲ	と・く, と・かす, と・ける	Usar uma faca (刀) para separar os chifres (角) de um boi (牛) e resolver um problema.	N3
市	Cidade, mercado	シ	いち	Um pano (巾) pendurado sob um topo (亠) marcando o local de um mercado na cidade.	N3
期	Período, tempo, esperar por	キ, ゴ	Não possui	O tempo que a lua (月) leva para completar aquele (其) período específico.	N3
様	Aparência, estilo, senhor ou senhora	ヨウ	さま	A aparência de uma ovelha (羊) bebendo água (氺) perto de uma árvore (木).	N3
活	Vida, ativo	カツ	Não possui	A língua (舌) que se mantém úmida com água (氵) para manter a vida ativa.	N3
頭	Cabeça, topo	トウ, ズ, ト	あたま, かしら	O topo ou cabeça (頁) onde se guardam os grãos de feijão (豆).	N3
組	Grupo, montar, cruzar	ソ	く・む, くみ	Usar fios (糸) para unir as partes de um grupo que já (且) existem.	N3
指	Dedo, apontar	シ	ゆび, さ・す	A mão (扌) que aponta com o propósito (旨) de indicar com o dedo.	N3
説	Teoria, explicar	セツ, ゼイ	と・く	Usar palavras (言) para explicar a uma pessoa (儿) com a boca (口) aberta.	N3
能	Habilidade, talento	ノウ	Não possui	O talento ou habilidade que nasce da força privada (ム) sob a lua (月) e se compara (ヒ) a outros.	N3
葉	Folha	ヨウ	は	A grama (艹) que nasce na árvore (木) através das gerações (世): a folha.	N3
流	Fluir, correnteza	リュウ, ル	なが・れる, なが・す	A água (氵) que flui de forma constante (川) sob um abrigo (亠, 厶).	N3
然	Como tal, natural	ゼン, ネン	Não possui	O ato natural de assar carne de cachorro (犬) sob o fogo (灬) sob a luz da lua (月).	N3
初	Primeiro, começo	ショ	はじ・め, はじ・めて, はつ, うい, そ・める	O primeiro passo para fazer uma roupa (衤) é usar a faca (刀) para começar a cortar.	N3
在	Existir, estar localizado	ザイ	あ・る	Um talento (才) que se mantém firme na terra (土) para existir.	N3
調	Investigar, tom, preparar	チョウ	しら・べる, ととの・う, ととの・える	Usar palavras (言) para investigar tudo o que acontece ao redor (周).	N3
笑	Rir, sorrir	ショウ	わら・う, え・む	O bambu (竹) que se curva como alguém (夭) que se dobra de rir.	N3
議	Discussão, debate	ギ	Não possui	Usar palavras (言) para discutir o que é justo ou moral (義).	N3
直	Direto, consertar	チョク, ジキ	ただ・ちに, なお・す, なお・る	Usar dez (十) olhos (目) para olhar a linha (乚) e consertar o que não está direto.	N3
夫	Marido, trabalhador	フ, フウ	おっと	O homem grande (大) que se destaca com um traço extra (一) como marido.	N3
選	Escolher, eleger	セン	えら・ぶ	Alguém que caminha (辶) para escolher por si mesmo (己) o que levar junto (共).	N3
権	Poder, direito	ケン, ゴン	Não possui	O poder de uma ave (隹) que vigia do alto de uma árvore (木) com grama (艹) e boca (口).	N3
利	Lucro, vantagem, afiado	リ	き・く	A vantagem de usar uma faca (刂) para colher os grãos (禾) e obter lucro.	N3
制	Sistema, controle	セイ	Não possui	O sistema de usar uma faca (刂) e um pano (巾) para controlar o gado (牛).	N3
続	Continuar	ゾク	つづ・く, つづ・ける	Vender (売) fios (糸) continuamente para manter o negócio.	N3
石	Pedra	セキ, シャク, コク	いし	Uma pedra redonda como uma boca (口) que caiu de um penhasco (厂).	N3
進	Avançar, progredir	シン	すす・む, すす・める	Avançar pelo caminho (辶) como um pássaro (隹) que voa para frente.	N3
伝	Transmitir, relatar	デン	つた・わる, つた・える, つた・う	Uma pessoa (亻) que relata e transmite as palavras que vêm como nuvens (云).	N3
加	Adicionar, aumentar	カ	くわ・える, くわ・わる	Usar a força (力) da boca (口) para adicionar mais fôlego ou palavras.	N3
助	Ajudar, salvar	ジョ	たす・ける, たす・かる, すけ	Usar a força (力) no altar (且) para ajudar em uma tarefa ou salvar alguém.	N3
点	Ponto, acender	テン	Não possui	O ponto marcado pelo fogo (灬) para ocupar (占) um espaço ou acender algo.	N3
産	Dar à luz, produzir	サン	う・む, う・まれる, うぶ	Ficar de pé (立) sob o abrigo de um penhasco (厂) para dar à luz e produzir vida (生).	N3
務	Dever, tarefa	ム	つと・める, つと・まる	O dever de usar a força (力) e a lança (矛) em uma ação (攵) de defesa.	N3
件	Assunto, caso	ケン	Não possui	O assunto ou caso que envolve uma pessoa (亻) e seu gado (牛).	N3
命	Vida, destino, comando	メイ, ミョウ	いのち	O comando (亼, 口) de um oficial (卩) que decide sobre a vida e o destino.	N3
番	Número, ordem	バン	Não possui	Distinguir (釆) a ordem dos campos de arroz (田) para saber o número de cada um.	N3
落	Cair, derrubar	ラク	お・ちる, お・とす	A água (氵) que cai sobre a grama (艹) em cada (各) lugar.	N3
付	Anexar, prender	フ	つ・ける, つ・く	Uma pessoa (亻) que utiliza uma pequena medida (寸) para anexar ou prender algo.	N3
得	Obter, ganhar	トク	え・る, う・る	Dar passos (彳) sob o sol (日) para medir (寸) e obter o que se deseja.	N3
好	Gostar, bom	コウ	この・む, す・く	O sentimento de uma mãe ao gostar de estar com seu filho (女, 子).	N3
違	Diferir, erro	イ	ちが・う, ちが・える	Seguir um caminho (辶) oposto ao couro ou regra (韋), cometendo um erro.	N3
殺	Matar	サツ, サイ, セツ	ころ・す	Usar uma arma de madeira (木, 殳) para cruzar (乂) o caminho de alguém e matar.	N3
置	Colocar, deixar	チ	お・く	Colocar a rede (罒) de forma direta (直) para deixar algo em um lugar.	N3
返	Retornar, devolver	ヘン	かえ・す, かえ・る	Retornar pelo caminho (辶) para o lado oposto (反).	N3
論	Discussão, teoria	ロン	Não possui	Usar palavras (言) em uma reunião (亼) sobre o que está escrito no livro (冊).	N3
際	Ocasião, limite	サイ	きわ	O festival (祭) que acontece dentro dos muros (阝) em uma ocasião especial.	N3
歳	Ano, idade	サイ, セイ	Não possui	O tempo marcado pela lança (戈, 戌) que encerra (止, 厂) o ciclo de um ano.	N3
反	Opor, contra	ハン, ホン, タン	そ・る, そ・らす	Uma mão (又) que se apoia no penhasco (厂) para se opor à queda.	N3
形	Forma, estilo	ケイ, ギョウ	かた, かたち	As marcas ornamentais (彡) que dão forma a um objeto aberto (开).	N3
光	Luz, brilhar	コウ	ひか・る, ひかり	Faíscas de brilho (⺌) sobre pernas (兀) que se movem como a luz.	N3
首	Pescoço, cabeça	シュ	くび	O topo da cabeça (丷) e o olho (目) sustentados pelo pescoço.	N3
勝	Vencer, superar	ショウ	か・つ, まさ・る	O uso da força (力) no corpo (月) para superar uma barreira (关) e vencer.	N3
